ADM2_EN,ADM2_PCODE,ADM1_EN,ADM1_PCODE,ADM0_EN,ADM0_PCODE,Total,Male,Female,T_00_04,T_05_09,T_10_14,T_15_17,T_18_19,T_20_24,T_25_29,T_30_34,T_35_39,T_40_44,T_45_49,T_50_54,T_55_59,T_60_64,T_65plus,M_00_04,M_05_09,M_10_14,M_15_17,M_18_19,M_20_24,M_25_29,M_30_34,M_35_39,M_40_44,M_45_49,M_50_54,M_55_59,M_60_64,M_65plus,F_00_04,F_05_09,F_10_14,F_15_17,F_18_19,F_20_24,F_25_29,F_30_34,F_35_39,F_40_44,F_45_49,F_50_54,F_55_59,F_60_64,F_65plus
East Bale,ET0421,Oromia,ET04,Ethiopia,ET,554232.00,312927.00,241305.00,85908.00,91666.00,85049.00,43217.00,16189.00,40020.00,38633.00,29846.00,31821.00,21358.00,16230.00,13339.00,10638.00,9626.00,20689.00,50294.00,53664.00,48223.00,25410.00,9516.00,21516.00,19837.00,15918.00,16985.00,12124.00,9068.00,6914.00,6531.00,5325.00,11592.00,35612.00,38000.00,36828.00,17807.00,6671.00,18504.00,18795.00,13928.00,14838.00,9234.00,7162.00,6425.00,4107.00,4300.00,9096.00
Siti,ET0501,Somali,ET05,Ethiopia,ET,661463.00,350967.00,310496.00,119418.00,127423.00,109688.00,49367.00,18491.00,40492.00,40597.00,33602.00,28885.00,27638.00,16969.00,19326.00,7838.00,8409.00,13315.00,64923.00,69276.00,63200.00,25960.00,9726.00,18456.00,17401.00,17049.00,14273.00,14799.00,7557.00,10016.00,4615.00,5019.00,8696.00,54493.00,58148.00,46488.00,23406.00,8768.00,22038.00,23195.00,16553.00,14614.00,12839.00,9411.00,9308.00,3225.00,3391.00,4620.00
Fafan,ET0502,Somali,ET05,Ethiopia,ET,1284307.00,681771.00,602533.00,227244.00,242477.00,208304.00,98685.00,36968.00,83063.00,80118.00,67181.00,56399.00,53933.00,33549.00,36950.00,15576.00,16916.00,26950.00,123956.00,132264.00,119436.00,52050.00,19496.00,38693.00,35001.00,34020.00,27462.00,29236.00,15324.00,19103.00,9124.00,9813.00,16785.00,103290.00,110215.00,88863.00,46635.00,17469.00,44368.00,45118.00,33163.00,28935.00,24698.00,18225.00,17847.00,6449.00,7103.00,10165.00
Jarar,ET0503,Somali,ET05,Ethiopia,ET,659981.00,350249.00,309734.00,118185.00,126107.00,108467.00,49850.00,18672.00,41331.00,40775.00,33929.00,28886.00,27631.00,17057.00,19163.00,7897.00,8513.00,13515.00,64339.00,68652.00,62374.00,26249.00,9830.00,19011.00,17618.00,17204.00,14189.00,14871.00,7678.00,9921.00,4641.00,5020.00,8658.00,53845.00,57457.00,46090.00,23603.00,8841.00,22319.00,23158.00,16732.00,14697.00,12763.00,9379.00,9242.00,3256.00,3492.00,4859.00
Erer,ET0504,Somali,ET05,Ethiopia,ET,276101.00,146497.00,129603.00,49846.00,53189.00,45784.00,20606.00,7721.00,16901.00,16946.00,14026.00,12057.00,11537.00,7083.00,8067.00,3272.00,3510.00,5557.00,27099.00,28916.00,26381.00,10834.00,4058.00,7703.00,7264.00,7117.00,5958.00,6177.00,3155.00,4181.00,1927.00,2095.00,3629.00,22746.00,24272.00,19402.00,9767.00,3658.00,9199.00,9681.00,6908.00,6098.00,5358.00,3929.00,3888.00,1345.00,1414.00,1928.00
Korahe,ET0505,Somali,ET05,Ethiopia,ET,527389.00,279899.00,247490.00,94218.00,100534.00,86450.00,39972.00,14971.00,33243.00,32646.00,27207.00,23097.00,22095.00,13660.00,15285.00,6327.00,6832.00,10851.00,51311.00,54750.00,49685.00,21049.00,7888.00,15334.00,14133.00,13791.00,11325.00,11906.00,6166.00,7912.00,3716.00,4015.00,6912.00,42907.00,45783.00,36765.00,18917.00,7087.00,17907.00,18511.00,13418.00,11773.00,10186.00,7492.00,7377.00,2608.00,2816.00,3941.00
Shabelle,ET0506,Somali,ET05,Ethiopia,ET,667698.00,354392.00,313309.00,118917.00,126888.00,109079.00,50830.00,19040.00,42440.00,41435.00,34603.00,29267.00,27993.00,17341.00,19305.00,8039.00,8695.00,13827.00,64796.00,69139.00,62644.00,26786.00,10034.00,19637.00,17995.00,17532.00,14320.00,15115.00,7858.00,9990.00,4718.00,5090.00,8743.00,54120.00,57749.00,46436.00,24044.00,9007.00,22804.00,23441.00,17064.00,14948.00,12880.00,9484.00,9318.00,3320.00,3606.00,5083.00
Doolo,ET0507,Somali,ET05,Ethiopia,ET,437226.00,231988.00,205237.00,78936.00,84226.00,72504.00,32632.00,12224.00,26768.00,26834.00,22211.00,19092.00,18268.00,11216.00,12774.00,5182.00,5557.00,8802.00,42914.00,45790.00,41775.00,17161.00,6429.00,12200.00,11503.00,11269.00,9433.00,9784.00,4996.00,6622.00,3052.00,3317.00,5749.00,36023.00,38435.00,30727.00,15472.00,5795.00,14567.00,15331.00,10942.00,9658.00,8487.00,6220.00,6152.00,2132.00,2241.00,3054.00
Afder,ET0508,Somali,ET05,Ethiopia,ET,672361.00,356751.00,315612.00,121385.00,129522.00,111496.00,50181.00,18796.00,41161.00,41265.00,34156.00,29361.00,28093.00,17249.00,19643.00,7969.00,8549.00,13534.00,65992.00,70417.00,64244.00,26389.00,9884.00,18762.00,17691.00,17332.00,14507.00,15042.00,7684.00,10182.00,4693.00,5101.00,8837.00,55394.00,59107.00,47255.00,23790.00,8913.00,22399.00,23578.00,16827.00,14855.00,13050.00,9567.00,9464.00,3276.00,3445.00,4694.00
Liban,ET0509,Somali,ET05,Ethiopia,ET,518873.00,273549.00,245324.00,93581.00,99855.00,85956.00,38763.00,14519.00,31841.00,31888.00,26398.00,22691.00,21669.00,13323.00,15156.00,6152.00,6609.00,10469.00,50610.00,54005.00,49274.00,20228.00,7575.00,14373.00,13559.00,13285.00,11125.00,11533.00,5886.00,7808.00,3596.00,3911.00,6779.00,42970.00,45853.00,36683.00,18534.00,6945.00,17468.00,18329.00,13114.00,11567.00,10137.00,7435.00,7347.00,2552.00,2697.00,3693.00
Nogob,ET0510,Somali,ET05,Ethiopia,ET,223037.00,118341.00,104695.00,40266.00,42967.00,36985.00,16645.00,6235.00,13654.00,13688.00,11330.00,9739.00,9320.00,5722.00,6517.00,2643.00,2835.00,4489.00,21891.00,23358.00,21310.00,8752.00,3279.00,6224.00,5868.00,5750.00,4813.00,4989.00,2549.00,3377.00,1556.00,1693.00,2932.00,18375.00,19607.00,15676.00,7893.00,2955.00,7431.00,7824.00,5577.00,4929.00,4331.00,3172.00,3140.00,1087.00,1144.00,1559.00
Daawa,ET0511,Somali,ET05,Ethiopia,ET,469370.00,249043.00,220327.00,84737.00,90419.00,77834.00,35032.00,13122.00,28735.00,28806.00,23844.00,20496.00,19612.00,12041.00,13714.00,5563.00,5967.00,9449.00,46070.00,49157.00,44845.00,18421.00,6901.00,13096.00,12349.00,12097.00,10128.00,10501.00,5364.00,7108.00,3274.00,3563.00,6170.00,38669.00,41261.00,32986.00,16608.00,6221.00,15638.00,16459.00,11745.00,10369.00,9110.00,6679.00,6607.00,2288.00,2405.00,3279.00
Metekel,ET0602,Benishangul Gumz,ET06,Ethiopia,ET,526774.00,264951.00,261821.00,77217.00,82394.00,69191.00,44285.00,16588.00,47666.00,46058.00,31391.00,33300.00,19217.00,16936.00,13767.00,7716.00,9266.00,11780.00,38791.00,41395.00,37249.00,21893.00,8200.00,22125.00,22914.00,15030.00,17344.00,9448.00,7937.00,7776.00,3594.00,4610.00,6647.00,38424.00,41002.00,31942.00,22392.00,8388.00,25541.00,23144.00,16363.00,15954.00,9768.00,8998.00,5993.00,4122.00,4658.00,5133.00
Asosa,ET0603,Benishangul Gumz,ET06,Ethiopia,ET,437079.00,223886.00,213192.00,65033.00,69393.00,58026.00,36424.00,13644.00,38081.00,36753.00,25605.00,27661.00,15889.00,14422.00,11733.00,6590.00,7912.00,9916.00,33250.00,35476.00,31904.00,18437.00,6906.00,18046.00,18623.00,12367.00,14676.00,7771.00,6753.00,6817.00,3135.00,4014.00,5714.00,31786.00,33914.00,26123.00,17985.00,6736.00,20035.00,18131.00,13236.00,12984.00,8119.00,7669.00,4917.00,3456.00,3901.00,4199.00
Kemashi,ET0604,Benishangul Gumz,ET06,Ethiopia,ET,165920.00,85629.00,80290.00,24332.00,25963.00,21822.00,13928.00,5217.00,14962.00,14490.00,9883.00,10498.00,6069.00,5344.00,4342.00,2428.00,2919.00,3720.00,12516.00,13355.00,12019.00,7079.00,2653.00,7178.00,7439.00,4872.00,5605.00,3063.00,2563.00,2503.00,1157.00,1485.00,2145.00,11816.00,12606.00,9803.00,6850.00,2565.00,7784.00,7050.00,5013.00,4892.00,3007.00,2782.00,1840.00,1269.00,1433.00,1576.00
Mao Komo Special,ET0605,Benishangul Gumz,ET06,Ethiopia,ET,75181.00,37639.00,37543.00,11436.00,12202.00,10113.00,6192.00,2319.00,6199.00,5946.00,4295.00,4757.00,2713.00,2578.00,2091.00,1186.00,1420.00,1734.00,5724.00,6108.00,5487.00,3082.00,1154.00,2848.00,2918.00,1984.00,2472.00,1246.00,1149.00,1216.00,554.00,708.00,989.00,5712.00,6095.00,4626.00,3110.00,1165.00,3352.00,3028.00,2311.00,2284.00,1467.00,1429.00,874.00,632.00,712.00,745.00
Guraghe,ET0701,SNNP,ET07,Ethiopia,ET,1786285.00,870362.00,915923.00,270202.00,288315.00,266301.00,143090.00,53601.00,125349.00,139463.00,107570.00,105106.00,71086.00,57649.00,44483.00,37355.00,30797.00,45916.00,135792.00,144898.00,133351.00,71308.00,26712.00,55728.00,61055.00,49104.00,51007.00,35808.00,26567.00,18146.00,19360.00,16157.00,25373.00,134406.00,143418.00,132945.00,71780.00,26888.00,69621.00,78411.00,58466.00,54096.00,35277.00,31083.00,26337.00,17997.00,14642.00,20549.00
Hadiya,ET0702,SNNP,ET07,Ethiopia,ET,1743785.00,867026.00,876757.00,264348.00,282066.00,260426.00,139525.00,52263.00,121767.00,135348.00,104679.00,102497.00,69486.00,56219.00,43320.00,36607.00,30180.00,45050.00,135586.00,144675.00,133142.00,70902.00,26559.00,55238.00,60376.00,48699.00,50742.00,35703.00,26436.00,18075.00,19369.00,16156.00,25379.00,128763.00,137392.00,127284.00,68631.00,25707.00,66527.00,74969.00,55976.00,51761.00,33782.00,29781.00,25246.00,17243.00,14029.00,19670.00
Kembata Tibaro,ET0703,SNNP,ET07,Ethiopia,ET,976649.00,480564.00,496084.00,143664.00,153296.00,143538.00,80983.00,30336.00,72764.00,80641.00,59681.00,58401.00,38447.00,31018.00,23496.00,19668.00,16204.00,24517.00,73302.00,78218.00,72003.00,40115.00,15028.00,32238.00,36085.00,28264.00,28558.00,19598.00,14807.00,10033.00,10246.00,8609.00,13451.00,70361.00,75079.00,71530.00,40866.00,15309.00,40526.00,44556.00,31417.00,29843.00,18849.00,16210.00,13462.00,9423.00,7593.00,11066.00
Gedeo,ET0705,SNNP,ET07,Ethiopia,ET,1206665.00,603921.00,602744.00,179284.00,191302.00,178242.00,98947.00,37067.00,88002.00,97672.00,73337.00,71768.00,47706.00,38507.00,29296.00,24634.00,20308.00,30597.00,92788.00,99008.00,91133.00,50120.00,18773.00,39930.00,44403.00,35062.00,35732.00,24699.00,18552.00,12605.00,13052.00,10944.00,17127.00,86497.00,92296.00,87109.00,48829.00,18292.00,48072.00,53270.00,38274.00,36036.00,23007.00,19953.00,16691.00,11581.00,9366.00,13472.00
Wolayita,ET0706,SNNP,ET07,Ethiopia,ET,2153501.00,1062732.00,1090768.00,318225.00,339554.00,317022.00,177528.00,66502.00,158849.00,176387.00,131494.00,128452.00,84932.00,68648.00,52157.00,43601.00,35948.00,54207.00,162405.00,173291.00,159524.00,88584.00,33182.00,71033.00,79374.00,62297.00,63080.00,43368.00,32719.00,22191.00,22736.00,19099.00,29841.00,155819.00,166265.00,157500.00,88945.00,33318.00,87818.00,97012.00,69194.00,65372.00,41565.00,35925.00,29967.00,20861.00,16848.00,24363.00
South Omo,ET0707,SNNP,ET07,Ethiopia,ET,785553.00,393208.00,392345.00,121365.00,129501.00,118561.00,61398.00,22999.00,52497.00,58433.00,46570.00,45659.00,31548.00,25552.00,19895.00,16934.00,13963.00,20680.00,62499.00,66688.00,61358.00,31706.00,11879.00,24167.00,25954.00,21394.00,22776.00,16296.00,11904.00,8189.00,9048.00,7513.00,11843.00,58869.00,62815.00,57203.00,29694.00,11124.00,28328.00,32481.00,25177.00,22884.00,15250.00,13647.00,11707.00,7884.00,6450.00,8833.00
Sheka,ET0708,SNNP,ET07,Ethiopia,ET,286408.00,144680.00,141728.00,42338.00,45175.00,42206.00,23645.00,8858.00,21113.00,23407.00,17441.00,17086.00,11302.00,9106.00,6897.00,5808.00,4788.00,7238.00,22145.00,23631.00,21752.00,12044.00,4512.00,9639.00,10756.00,8457.00,8581.00,5908.00,4452.00,3020.00,3105.00,2606.00,4075.00,20192.00,21545.00,20455.00,11601.00,4346.00,11473.00,12652.00,8985.00,8504.00,5395.00,4654.00,3875.00,2703.00,2182.00,3163.00
Kefa,ET0709,SNNP,ET07,Ethiopia,ET,1206785.00,594966.00,611822.00,184082.00,196419.00,180918.00,95813.00,35893.00,83138.00,92370.00,72090.00,70664.00,48198.00,39006.00,30191.00,25563.00,21069.00,31372.00,93690.00,99968.00,91991.00,48364.00,18116.00,37337.00,40516.00,32973.00,34668.00,24567.00,18086.00,12394.00,13456.00,11206.00,17632.00,90392.00,96448.00,88924.00,47450.00,17773.00,45801.00,51854.00,39117.00,35998.00,23630.00,20920.00,17794.00,12105.00,9863.00,13737.00
Gamo,ET0710,SNNP,ET07,Ethiopia,ET,1668746.00,826020.00,842724.00,250519.00,267311.00,247877.00,135081.00,50597.00,119069.00,132260.00,100809.00,98643.00,66232.00,53556.00,41053.00,34557.00,28486.00,42692.00,128096.00,136679.00,125797.00,68024.00,25480.00,53576.00,59057.00,47143.00,48593.00,33904.00,25279.00,17226.00,18164.00,15189.00,23820.00,122429.00,130630.00,122079.00,67055.00,25115.00,65489.00,73208.00,53666.00,50049.00,32330.00,28281.00,23826.00,16396.00,13297.00,18875.00
Bench Sheko,ET0711,SNNP,ET07,Ethiopia,ET,642201.00,317656.00,324544.00,95770.00,102190.00,95056.00,52402.00,19631.00,46483.00,51602.00,38946.00,38108.00,25421.00,20540.00,15683.00,13176.00,10862.00,16328.00,48987.00,52270.00,48112.00,26281.00,9844.00,20843.00,23098.00,18316.00,18751.00,13010.00,9745.00,6626.00,6912.00,5790.00,9067.00,46782.00,49920.00,46944.00,26120.00,9784.00,25642.00,28504.00,20629.00,19354.00,12413.00,10797.00,9054.00,6265.00,5070.00,7258.00
Alle,ET0712,SNNP,ET07,Ethiopia,ET,85518.00,41889.00,43629.00,12935.00,13802.00,12763.00,6859.00,2569.00,6006.00,6667.00,5135.00,5032.00,3404.00,2753.00,2122.00,1791.00,1475.00,2205.00,6551.00,6990.00,6433.00,3425.00,1283.00,2668.00,2915.00,2352.00,2451.00,1725.00,1277.00,873.00,936.00,780.00,1227.00,6383.00,6812.00,6330.00,3435.00,1287.00,3338.00,3751.00,2783.00,2581.00,1678.00,1476.00,1249.00,854.00,695.00,978.00
Konso,ET0713,SNNP,ET07,Ethiopia,ET,287325.00,139240.00,148085.00,44960.00,47973.00,43630.00,22029.00,8252.00,18615.00,20789.00,16944.00,16564.00,11591.00,9439.00,7435.00,6294.00,5191.00,7621.00,22380.00,23880.00,21968.00,11118.00,4164.00,8339.00,8838.00,7404.00,8005.00,5797.00,4195.00,2897.00,3269.00,2707.00,4277.00,22581.00,24094.00,21660.00,10912.00,4087.00,10274.00,11951.00,9540.00,8556.00,5794.00,5243.00,4539.00,3025.00,2484.00,3343.00
Halaba Special,ET0714,SNNP,ET07,Ethiopia,ET,349664.00,176299.00,173365.00,52301.00,55808.00,51851.00,28462.00,10662.00,25139.00,27905.00,21150.00,20718.00,13863.00,11187.00,8535.00,7208.00,5942.00,8932.00,27248.00,29076.00,26762.00,14558.00,5454.00,11513.00,12732.00,10123.00,10393.00,7227.00,5402.00,3679.00,3853.00,3226.00,5053.00,25053.00,26733.00,25089.00,13904.00,5209.00,13627.00,15174.00,11026.00,10325.00,6635.00,5784.00,4858.00,3354.00,2718.00,3879.00
Gofa,ET0715,SNNP,ET07,Ethiopia,ET,652371.00,326245.00,326126.00,99346.00,106006.00,97716.00,51943.00,19457.00,45100.00,50102.00,39002.00,38247.00,26045.00,21054.00,16252.00,13789.00,11368.00,16952.00,51259.00,54694.00,50332.00,26569.00,9954.00,20573.00,22378.00,18159.00,19037.00,13460.00,9926.00,6797.00,7351.00,6123.00,9630.00,48086.00,51309.00,47384.00,25371.00,9505.00,24526.00,27724.00,20841.00,19213.00,12588.00,11127.00,9455.00,6439.00,5246.00,7321.00
Basketo,ET0716,SNNP,ET07,Ethiopia,ET,80293.00,40305.00,39988.00,12157.00,12972.00,11993.00,6442.00,2413.00,5624.00,6241.00,4813.00,4724.00,3199.00,2582.00,1985.00,1684.00,1388.00,2077.00,6305.00,6727.00,6191.00,3295.00,1235.00,2566.00,2803.00,2262.00,2358.00,1660.00,1229.00,840.00,901.00,752.00,1181.00,5852.00,6244.00,5802.00,3147.00,1179.00,3058.00,3438.00,2551.00,2366.00,1538.00,1353.00,1145.00,784.00,637.00,897.00
Dawuro,ET0717,SNNP,ET07,Ethiopia,ET,671195.00,342824.00,328372.00,103695.00,110645.00,101305.00,52521.00,19675.00,44836.00,49908.00,39772.00,39025.00,26966.00,21808.00,16940.00,14468.00,11938.00,17698.00,54417.00,58068.00,53430.00,27674.00,10367.00,21131.00,22725.00,18698.00,19873.00,14204.00,10387.00,7138.00,7870.00,6539.00,10306.00,49274.00,52575.00,47878.00,24846.00,9307.00,23705.00,27183.00,21072.00,19150.00,12764.00,11421.00,9801.00,6598.00,5399.00,7394.00
Mirab Omo,ET0718,SNNP,ET07,Ethiopia,ET,273790.00,135135.00,138655.00,42085.00,44906.00,41223.00,21532.00,8066.00,18531.00,20597.00,16272.00,15959.00,10969.00,8880.00,6904.00,5862.00,4833.00,7171.00,21426.00,22864.00,21037.00,10921.00,4093.00,8353.00,8995.00,7388.00,7840.00,5595.00,4097.00,2813.00,3094.00,2574.00,4054.00,20661.00,22044.00,20188.00,10612.00,3974.00,10179.00,11604.00,8882.00,8119.00,5373.00,4785.00,4089.00,2766.00,2260.00,3118.00
Konta Special,ET0719,SNNP,ET07,Ethiopia,ET,126143.00,61847.00,64296.00,19095.00,20375.00,18836.00,10110.00,3787.00,8845.00,9815.00,7568.00,7419.00,5022.00,4061.00,3130.00,2645.00,2179.00,3256.00,9683.00,10331.00,9508.00,5053.00,1892.00,3931.00,4291.00,3467.00,3617.00,2548.00,1885.00,1290.00,1384.00,1155.00,1814.00,9412.00,10043.00,9328.00,5057.00,1895.00,4914.00,5524.00,4101.00,3803.00,2474.00,2176.00,1841.00,1261.00,1024.00,1442.00
Siltie,ET0720,SNNP,ET07,Ethiopia,ET,1203899.00,588821.00,615073.00,184877.00,197272.00,180937.00,94637.00,35452.00,81602.00,90946.00,71837.00,70208.00,48207.00,39152.00,30473.00,25703.00,21197.00,31393.00,93038.00,99277.00,91350.00,47721.00,17874.00,36671.00,39646.00,32414.00,34236.00,24346.00,17873.00,12266.00,13405.00,11149.00,17555.00,91842.00,97996.00,89587.00,46915.00,17575.00,44930.00,51304.00,39423.00,35972.00,23859.00,21281.00,18210.00,12300.00,10049.00,13837.00
Amaro,ET0721,SNNP,ET07,Ethiopia,ET,203444.00,103035.00,100409.00,31410.00,33515.00,30683.00,15920.00,5964.00,13610.00,15161.00,12074.00,11832.00,8170.00,6616.00,5143.00,4380.00,3613.00,5353.00,16340.00,17436.00,16043.00,8324.00,3118.00,6364.00,6851.00,5631.00,5976.00,4267.00,3123.00,2146.00,2362.00,1962.00,3092.00,15070.00,16080.00,14640.00,7596.00,2845.00,7245.00,8309.00,6444.00,5855.00,3903.00,3494.00,2998.00,2018.00,1651.00,2261.00
Burji,ET0722,SNNP,ET07,Ethiopia,ET,77812.00,39060.00,38753.00,11781.00,12571.00,11622.00,6243.00,2339.00,5450.00,6048.00,4665.00,4578.00,3100.00,2502.00,1923.00,1632.00,1345.00,2013.00,6110.00,6520.00,6000.00,3193.00,1196.00,2486.00,2717.00,2192.00,2286.00,1609.00,1191.00,814.00,873.00,728.00,1144.00,5671.00,6051.00,5622.00,3050.00,1142.00,2963.00,3331.00,2472.00,2292.00,1491.00,1311.00,1110.00,760.00,617.00,869.00
Derashe,ET0723,SNNP,ET07,Ethiopia,ET,145708.00,71372.00,74336.00,22039.00,23517.00,21745.00,11687.00,4378.00,10233.00,11359.00,8750.00,8574.00,5799.00,4691.00,3615.00,3051.00,2514.00,3756.00,11163.00,11910.00,10962.00,5835.00,2186.00,4546.00,4968.00,4008.00,4177.00,2939.00,2176.00,1488.00,1594.00,1330.00,2090.00,10877.00,11605.00,10784.00,5851.00,2192.00,5687.00,6391.00,4742.00,4398.00,2860.00,2515.00,2127.00,1456.00,1184.00,1666.00
Yem Special,ET0724,SNNP,ET07,Ethiopia,ET,108136.00,53936.00,54200.00,16306.00,17400.00,16131.00,8723.00,3268.00,7650.00,8468.00,6484.00,6376.00,4300.00,3464.00,2657.00,2258.00,1860.00,2791.00,8431.00,8995.00,8279.00,4412.00,1653.00,3439.00,3761.00,3032.00,3158.00,2220.00,1645.00,1124.00,1203.00,1004.00,1578.00,7876.00,8404.00,7852.00,4311.00,1615.00,4210.00,4706.00,3452.00,3219.00,2079.00,1819.00,1533.00,1055.00,855.00,1214.00
Nuwer,ET1201,Gambela,ET12,Ethiopia,ET,173207.00,92803.00,80405.00,25598.00,27312.00,25683.00,15069.00,5644.00,13557.00,12534.00,10461.00,10397.00,7374.00,6310.00,5314.00,2560.00,2548.00,2840.00,14183.00,15134.00,14865.00,8135.00,3048.00,6998.00,5600.00,4666.00,5256.00,3856.00,3459.00,2909.00,1490.00,1520.00,1682.00,11414.00,12179.00,10817.00,6932.00,2597.00,6560.00,6933.00,5795.00,5141.00,3519.00,2853.00,2405.00,1072.00,1027.00,1160.00
Agnewak,ET1202,Gambela,ET12,Ethiopia,ET,186845.00,94700.00,92142.00,25320.00,27018.00,25271.00,17740.00,6646.00,17493.00,18158.00,12894.00,11979.00,7641.00,5599.00,4190.00,2011.00,2126.00,2764.00,13707.00,14624.00,13401.00,8511.00,3188.00,7777.00,8778.00,6244.00,6050.00,3940.00,3132.00,1922.00,913.00,1044.00,1473.00,11613.00,12391.00,11868.00,9229.00,3456.00,9717.00,9380.00,6647.00,5926.00,3703.00,2464.00,2268.00,1100.00,1082.00,1291.00
Majang,ET1203,Gambela,ET12,Ethiopia,ET,85097.00,43785.00,41312.00,12511.00,13349.00,12520.00,7429.00,2783.00,6728.00,6303.00,5214.00,5138.00,3621.00,3073.00,2575.00,1236.00,1231.00,1383.00,6674.00,7121.00,6972.00,3843.00,1440.00,3316.00,2714.00,2238.00,2496.00,1820.00,1623.00,1348.00,689.00,705.00,788.00,5837.00,6228.00,5548.00,3586.00,1344.00,3412.00,3590.00,2978.00,2642.00,1802.00,1450.00,1227.00,549.00,526.00,595.00
Itang Special woreda,ET1204,Gambela,ET12,Ethiopia,ET,53065.00,26602.00,26463.00,7706.00,8222.00,7702.00,4692.00,1758.00,4313.00,4122.00,3322.00,3237.00,2246.00,1868.00,1545.00,741.00,743.00,849.00,4025.00,4295.00,4169.00,2343.00,878.00,2039.00,1765.00,1415.00,1543.00,1105.00,971.00,779.00,395.00,409.00,469.00,3680.00,3926.00,3533.00,2350.00,880.00,2274.00,2357.00,1907.00,1694.00,1141.00,896.00,766.00,346.00,333.00,380.00
Harari,ET1301,Harari,ET13,Ethiopia,ET,275491.00,138735.00,136758.00,36439.00,38881.00,36500.00,21043.00,7883.00,26677.00,23920.00,16601.00,18909.00,12382.00,9397.00,7532.00,6128.00,2905.00,10297.00,18359.00,19594.00,20195.00,10577.00,3963.00,11602.00,13363.00,7866.00,8985.00,7185.00,4781.00,4022.00,2615.00,1801.00,3821.00,18077.00,19287.00,16304.00,10464.00,3920.00,15075.00,10557.00,8734.00,9926.00,5198.00,4613.00,3510.00,3513.00,1102.00,6475.00
Region 14,ET1401,Addis Ababa,ET14,Ethiopia,ET,3780729.00,1784191.00,1996539.00,293691.00,313380.00,302506.00,319927.00,119842.00,512522.00,508885.00,343776.00,290052.00,181393.00,126475.00,112512.00,88338.00,88925.00,178505.00,157379.00,167927.00,141444.00,120383.00,45095.00,211983.00,243382.00,168362.00,152760.00,97069.00,65559.00,44666.00,35303.00,39627.00,93249.00,136314.00,145451.00,161063.00,199543.00,74748.00,300542.00,265501.00,175414.00,137292.00,84325.00,60916.00,67844.00,53038.00,49295.00,85256.00
Dire Dawa urban,ET1501,Dire Dawa,ET15,Ethiopia,ET,330009.00,166321.00,163688.00,34187.00,36477.00,36741.00,27911.00,10454.00,37583.00,34344.00,25961.00,20187.00,15490.00,13758.00,9877.00,7073.00,7410.00,12557.00,20241.00,21598.00,21448.00,11834.00,4432.00,15609.00,15275.00,14261.00,9437.00,6205.00,8037.00,5632.00,2913.00,2917.00,6482.00,13947.00,14880.00,15292.00,16075.00,6022.00,21970.00,19069.00,11701.00,10751.00,9285.00,5720.00,4245.00,4160.00,4494.00,6075.00
Dire Dawa rural,ET1502,Dire Dawa,ET15,Ethiopia,ET,193614.00,97300.00,96314.00,34507.00,36821.00,27857.00,12223.00,4578.00,12188.00,12196.00,10523.00,11542.00,9623.00,7700.00,4492.00,2053.00,3458.00,3852.00,17273.00,18432.00,13271.00,6865.00,2572.00,5999.00,5731.00,4850.00,5994.00,4583.00,3953.00,2678.00,1404.00,2171.00,1525.00,17234.00,18389.00,14586.00,5358.00,2007.00,6190.00,6466.00,5673.00,5548.00,5039.00,3747.00,1813.00,648.00,1287.00,2328.00
Sidama,ET1600,Sidama,ET16,Ethiopia,ET,4432226.00,2194968.00,2237262.00,668676.00,713498.00,660142.00,356637.00,133590.00,312836.00,347649.00,266935.00,261246.00,176260.00,142597.00,109622.00,92416.00,76188.00,113928.00,341828.00,364740.00,335682.00,180121.00,67470.00,141089.00,154872.00,124270.00,128786.00,90243.00,67046.00,45767.00,48650.00,40633.00,63775.00,326848.00,348758.00,324462.00,176519.00,66121.00,171749.00,192777.00,142664.00,132459.00,86019.00,75550.00,63853.00,43767.00,35561.00,50151.00
